image_idx,idx,local_description,instructions,mturk_idx,category,bg_csd-win,bg_csd-lose,text_csd-win,text_csd-lose,qual_csd-win,qual_csd-lose,pref_csd-win,pref_csd-lose
250,253538-output2,mascot with young men playing volleyball and mosque in background,let there be a mascot,0,add,3.0,2.0,3.0,2.0,4.0,1.0,4.0,1.0
165,323789-output1,work desk with world map on wall,let there be a world map on the wall,1,add,7.0,3.0,9.0,1.0,8.0,2.0,10.0,0.0
593,237041-output2,helicopter being struck by lightening,Add a helicopter being struck by lightening.,2,add,3.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0
881,329737-output2,A very old yellow keyboard computer with a blue webpage on a black background and a hamster.,replace the mouse with a hamster,3,change,8.0,2.0,9.0,1.0,7.0,3.0,8.0,2.0
647,147501-input,metallic two-door refrigerator,Make the fridge metallic.,4,change,3.0,7.0,4.0,6.0,6.0,4.0,2.0,8.0
758,411727-input,laptop with media player on screen,let the laptop show a media player on its screen,5,change,1.0,4.0,1.0,4.0,0.0,5.0,1.0,4.0
805,322574-output2,"hot dog, fries, soda can, and salad",Add a salad in the right side,6,add,10.0,0.0,8.0,2.0,9.0,1.0,8.0,2.0
282,232489-output1,sandwich on a ceramic plate,Replace the pizza with a sandwich.,7,change,1.0,4.0,4.0,1.0,4.0,1.0,4.0,1.0
686,205069-input,man touching a drag queen with a red hat,change the pink hat to a red hat,8,change,1.0,4.0,1.0,4.0,0.0,5.0,2.0,3.0
207,483357-input,bathroom with vase of flowers on sink,Le'ts add a vase of flowers on the sink.,9,add,4.0,1.0,3.0,2.0,3.0,2.0,4.0,1.0
920,77444-output1,cup of tea,add a cup of tea,10,add,6.0,4.0,9.0,1.0,6.0,4.0,8.0,2.0
164,323789-input,laughing man at work desk,make the man laugh,11,change,3.0,7.0,3.0,7.0,4.0,6.0,3.0,7.0
606,140021-input,blue scissors and fabric on table,make the scissor blue,12,change,4.0,1.0,4.0,1.0,5.0,0.0,5.0,0.0
217,106172-output1,guy wearing sunglasses with a guitar,He should be wearing sunglasses.,13,add,3.0,2.0,2.0,3.0,2.0,3.0,1.0,4.0
444,367107-input,painting of a police officer,replace the stop sign with a painting,14,change,6.0,4.0,5.0,5.0,5.0,5.0,7.0,3.0
150,383220-input,squirrels,remove the snowmen and add squirrels,15,change,4.0,1.0,2.0,3.0,3.0,2.0,4.0,1.0
967,154597-output2,dining room with brown door,let the room have a brown door,16,add,7.0,3.0,7.0,3.0,5.0,5.0,6.0,4.0
132,543833-output1,blue vase and pot with lilies in front of a large window,let the pot next to the vase be blue,17,change,1.0,4.0,2.0,3.0,2.0,3.0,2.0,3.0
462,303257-output1,smiley face elephants,Paint a smiley face on it.,18,add,9.0,1.0,7.0,3.0,9.0,1.0,8.0,2.0
336,457986-input,living room and kitchenette with potted plant on table,Have there be a potted plant on the table,19,add,7.0,3.0,8.0,2.0,8.0,2.0,5.0,5.0
625,410110-input,purses in a crowded room,remove the umbrella,20,remove,0.0,5.0,3.0,2.0,1.0,4.0,2.0,3.0
447,501864-output2,zeppelin in the sky,let a zeppelin float in the sky,21,add,3.0,2.0,3.0,2.0,2.0,3.0,4.0,1.0
895,271402-input,tennis uniform girl with scooter,Remove one of the girls.,22,remove,5.0,0.0,2.0,3.0,3.0,2.0,4.0,1.0
103,459898-output1,bird on zebra,add a bird on the zebra,23,add,3.0,2.0,5.0,0.0,4.0,1.0,4.0,1.0
706,523978-input,small bathroom with white tub and sink,Let the window be small.,24,add,3.0,2.0,4.0,1.0,5.0,0.0,4.0,1.0
685,419974-output2,assortment of dog food and treats,let there be an assortment of dog food and treats,25,add,3.0,2.0,4.0,1.0,4.0,1.0,3.0,2.0
93,461252-output1,plate of tasty food with empty bun,let there be empty bun instead of the sandwich,26,add,4.0,1.0,3.0,2.0,3.0,2.0,3.0,2.0
29,560472-input,patties on the grill,let there be patties in the pan,27,add,2.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0
115,279939-input,Closed toilet lid in bathroom.,What if the lid was closed?,28,change,0.0,5.0,1.0,4.0,1.0,4.0,0.0,5.0
158,125109-output1,blue flowers in vase on red tile floor kitchen with oven and cooker,let the flowers in the vase be blue,29,change,2.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0
531,507958-output2,flower wallpaper,add flower wall paper,30,add,2.0,3.0,3.0,2.0,2.0,3.0,1.0,4.0
947,12766-output1,"sushi, soup, wine, and eggs on the table",Put a bowl of eggs on the table.,31,add,3.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0
578,392850-output2,cutting board with stick of butter,Have there be a stick of butter on the cutting board,32,add,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0
449,110327-input,styrofoam tray with carrots,put carrots on the styrofoam tray,33,add,0.0,5.0,3.0,2.0,2.0,3.0,3.0,2.0
189,137100-output1,plate of pizza,Clear the rest of the table.,34,remove,0.0,5.0,1.0,4.0,0.0,5.0,0.0,5.0
492,229171-output1,Two laptops showing pictures of elephants on a table top in front of a television.,Have the other laptop also be showing a picture of an elephant,35,change,1.0,4.0,3.0,2.0,2.0,3.0,2.0,3.0
572,164224-input,white bed in a large hotel room,remove the chairs,36,remove,3.0,2.0,2.0,3.0,2.0,3.0,1.0,4.0
453,531277-output1,blue plate,The plate could be blue?,37,change,1.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0
134,262710-input,cowboy hat,replace the cap with a cowboy hat,38,change,1.0,4.0,2.0,3.0,2.0,3.0,3.0,2.0
674,147471-output2,dog with hat,What if the dog had a hat?,39,add,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0
896,271402-output1,girl in tennis uniform standing next to a scooter with a cat.,Add a cat.,40,add,1.0,4.0,2.0,3.0,1.0,4.0,3.0,2.0
18,385037-input,A woman sits on top of a motorcycle.,Remove the man.,41,remove,0.0,5.0,1.0,4.0,1.0,4.0,1.0,4.0
548,528875-input,"tennis ball and pans filled with assorted veggies, fruit and rice",Add a tennis ball,42,add,2.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0
154,67616-input,red Lamborghini parked in front,Have a red Lamborghini parked in front,43,add,2.0,3.0,1.0,4.0,3.0,2.0,1.0,4.0
9,483348-output2,wooden bathroom stall with a frog in the toilet.,Repair the floor.,44,change,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0
969,573764-input,group of people sitting around a cafeteria table with food.,change the classroom into a cafeteria,45,change,1.0,4.0,2.0,3.0,1.0,4.0,1.0,4.0
138,156195-output1,model posing next to sheep,Have there be a model posing next to the sheep,46,add,1.0,4.0,3.0,2.0,2.0,3.0,2.0,3.0
155,71409-input,new car on city street,Put a new car on the street.,47,add,1.0,4.0,2.0,3.0,2.0,3.0,2.0,3.0
19,385037-output1,obese woman on motorcycle,Make the woman obese.,48,change,2.0,3.0,2.0,3.0,1.0,4.0,3.0,2.0
607,26221-input,couch with lion laying on it,make a lion laying on the couch,49,add,4.0,1.0,5.0,0.0,4.0,1.0,4.0,1.0
770,84031-output1,tennis ball flying toward player with racquet,change the baseball to a tennis ball,50,change,2.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0
153,319522-input,white horses grazing on a lush green field.,Let the horses turn white.,51,change,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0
504,540100-output2,bowl of rice with broccoli and cheese and salt,add some salt next to the bowl,52,add,3.0,2.0,4.0,1.0,0.0,5.0,1.0,4.0
101,393403-input,train traveling down a street.,change the bus into a train,53,change,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0
193,229419-output2,"cornfield with tractor, horses, and dog",make the field a cornfield.,54,change,2.0,3.0,2.0,3.0,1.0,4.0,2.0,3.0
