image_idx,idx,local_description,instructions,mturk_idx
332,242543-input,closed refrigerator,What if the refrigerator was closed?,0
528,139306-output1,hot dog on paper with blunt knife,Make the sandwich a hot dog.,1
572,164224-input,white bed in a large hotel room,remove the chairs,2
283,555495-input,Zebras in a field of flowers,Let's add some flowers in the field.,3
70,335874-output2,top hat,Have the polar bear be wearing a top hat,4
1030,360449-output2,toll booth and stoplight on empty city street at night with car parking garage in background,Add a toll booth,5
548,528875-input,"tennis ball and pans filled with assorted veggies, fruit and rice",Add a tennis ball,6
115,279939-input,Closed toilet lid in bathroom.,What if the lid was closed?,7
743,78085-output2,L-shaped office desk with white computer screens,let the computer screens be white,8
939,360762-output1,egg and basket with stuffed rabbit hanging outside,add an egg to the photo,9
696,180141-input,girl holding a microphone,Let the girl hold a microphone.,10
596,319494-input,boats with a jumping whale,Make a big whale jump over the boat.,11
493,191193-input,brown dog in window,Let the dog be brown.,12
577,392850-output1,measuring cup and fruit on table with clear bowl of rice,Have there be a measuring cup by the fruit,13
552,524311-output2,blonde man in a tuxedo holding a carrot and laughing.,change the Wii remote to carrot,14
173,60892-input,dog on two double beds in a hotel room with a logo on the comforter.,Add a dog.,15
480,342387-input,people wearing chef hats in a kitchen,change the hats into chef hats,16
984,92212-output1,Group of limousines parked on a street next to a Stop sign.,Change the Pay Here sign to Stop Sign,17
694,373184-output1,tree with yellow flowers,add yellow flowers on the tree,18
593,237041-output2,helicopter being struck by lightening,Add a helicopter being struck by lightening.,19
478,286656-output1,blue bucket with cow being fed milk with a syringe with an orange top.,make the bucket blue,20
409,74583-output1,parrot on cushion,The bicycle should be removed.,21
126,360510-output1,cat on truck roof with sun shining on building,have the sun shine on the building,22
212,377056-input,flamingo and TV mounted to a wall.,Add a flamingo.,23
344,330084-input,bear sticking out its tongue,make the bear stick out its tongue,24
841,326174-output1,beach with boat,Add a boat.,25
358,104669-input,plate with glass of juice,A glass of juice would complete the meal.,26
834,396330-input,guys raising their hands in a gym near a basketball hoop,let the guys raise their hands,27
860,438876-input,man holding a tennis ball,let the man hold a tennis ball,28
318,208963-input,man with luggage holding a blue striped umbrella,Let the umbrella turn blue.,29
803,322574-input,soda can and sandwich with fries,Add a soda can in the back,30
148,446522-output2,floor lamp next to chair,Place a floor lamp next to the chair.,31
86,151050-input,no entry sign in the grass,change the stop sign into a no entry sign,32
434,557067-input,bed with fruit,Have there be a bunch of fruit on the bed,33
978,144534-output2,Woman holding a skillet filled with vegan vegetables and plant-based salami with soy sauce.,change the bottle of olive oil into soy sauce,34
705,391509-output2,A woman in military uniform sits on a bench with a parked Ducati superbike at a train station.,let it be a train station,35
799,2886-input,plate with dinner and knife on tablecloth,replace the fork with a knife,36
80,331816-input,A group of sheep in a grassy area.,Take away the trees.,37
138,156195-output1,model posing next to sheep,Have there be a model posing next to the sheep,38
456,126182-output1,microwave and freezer,Put a microwave next to the freezer.,39
127,360510-output2,fishing poles,add fishing poles,40
465,516000-output1,Japanese food with sauce on the side.,Add a bit of sauce on the side.,41
287,553735-input,blue and yellow double decker bus and a truck driving down a street.,Put a truck on the street.,42
199,396260-input,luggage with trash can,change the backpack into a trash can,43
530,507958-output1,butterflies in kitchen,add butterflies,44
922,398157-input,bathroom with vase of flowers on counter,Let's add a vase of flowers to the counter.,45
547,204777-output2,curly afro,let the man have a curly afro,46
838,208868-output1,glass of wine,put a glass of wine next to the pizza,47
771,84031-output2,Bucket of balls in large stadium with tennis ball flying toward it.,Change the catcher into a bucket of balls.,48
924,339634-output1,plate with lobster and dipping sauce,let there be dipping sauce,49
162,318657-input,spaceship in the sky,Have there be a spaceship in the sky,50
